id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1248056153172557824	1247700370282987521	2020-04-08 20:12:29 CDT	2020-04-08	20:12:29	-0600	18158546	adamgrant	Adam Grant		@DaverMath @CallofDuty Maybe I’ll bring the girl to ptbo one day	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/1248056153172557824	False		0								[{'screen_name': 'CallofDuty', 'name': 'Call of Duty', 'id': '290097288'}]				
1248054764606230530	1247700370282987521	2020-04-08 20:06:58 CDT	2020-04-08	20:06:58	-0600	18158546	adamgrant	Adam Grant		@DaverMath @CallofDuty Lol thanks man. It’s been a minute	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/1248054764606230530	False		0								[{'screen_name': 'CallofDuty', 'name': 'Call of Duty', 'id': '290097288'}]				
1248052862359347205	1247700370282987521	2020-04-08 19:59:24 CDT	2020-04-08	19:59:24	-0600	18158546	adamgrant	Adam Grant		@DaverMath @CallofDuty Final fantasy 7 tomorrow night bro	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/1248052862359347205	False		0								[{'screen_name': 'CallofDuty', 'name': 'Call of Duty', 'id': '290097288'}]				
1196536595668721670	1196497697668313088	2019-11-18 15:12:09 CST	2019-11-18	15:12:09	-0600	18158546	adamgrant	Adam Grant		@sakoPTBO The pivot one	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/adamgrant/status/1196536595668721670	False		0								[]				
1044114280503627776	1042967258404999169	2018-09-24 01:40:17 CDT	2018-09-24	01:40:17	-0600	18158546	adamgrant	Adam Grant		@stevehancock You still tweet??	en	[]	[]	[]	1	1	0	[]	[]	https://twitter.com/adamgrant/status/1044114280503627776	False		0								[{'screen_name': 'stevehancock', 'name': 'recovering himbo', 'id': '16843149'}]				
963720491763564544	963628276169216002	2018-02-14 04:24:04 CST	2018-02-14	04:24:04	-0600	18158546	adamgrant	Adam Grant		@sakoPTBO Come on Sako. Get your shit together	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/963720491763564544	False		0								[]				
963633498379649024	963628276169216002	2018-02-13 22:38:24 CST	2018-02-13	22:38:24	-0600	18158546	adamgrant	Adam Grant		@sakoPTBO You’re just watching it now ? #BetterLateThanNever	en	[]	[]	[]	1	0	0	['betterlatethannever']	[]	https://twitter.com/adamgrant/status/963633498379649024	False		0								[]				
959501091598516226	959501025551048706	2018-02-02 12:57:41 CST	2018-02-02	12:57:41	-0600	18158546	adamgrant	Adam Grant		@ultra Infinity.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/959501091598516226	False		0								[{'screen_name': 'ultra', 'name': 'Ultra Music Festival', 'id': '22838300'}]				
959500491133657090	959500440655355909	2018-02-02 12:55:18 CST	2018-02-02	12:55:18	-0600	18158546	adamgrant	Adam Grant		@ultra 9	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/959500491133657090	False		0								[{'screen_name': 'ultra', 'name': 'Ultra Music Festival', 'id': '22838300'}]				
959497008695230464	959496961828311040	2018-02-02 12:41:28 CST	2018-02-02	12:41:28	-0600	18158546	adamgrant	Adam Grant		@ultra 2011	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/959497008695230464	False		0								[{'screen_name': 'ultra', 'name': 'Ultra Music Festival', 'id': '22838300'}]				
959496217641144325	959496152868679680	2018-02-02 12:38:19 CST	2018-02-02	12:38:19	-0600	18158546	adamgrant	Adam Grant		@ultra 7	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/959496217641144325	False		0								[{'screen_name': 'ultra', 'name': 'Ultra Music Festival', 'id': '22838300'}]				
959495774416527360	959495494849441792	2018-02-02 12:36:33 CST	2018-02-02	12:36:33	-0600	18158546	adamgrant	Adam Grant		@ultra South beach	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/959495774416527360	False		0								[{'screen_name': 'ultra', 'name': 'Ultra Music Festival', 'id': '22838300'}]				
952294633920389120	952281628222672896	2018-01-13 15:41:48 CST	2018-01-13	15:41:48	-0600	18158546	adamgrant	Adam Grant		@sakoPTBO So kind Sako. So kind.	tl	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/adamgrant/status/952294633920389120	False		0								[]				
948364252548493313	948361873812000769	2018-01-02 19:23:52 CST	2018-01-02	19:23:52	-0600	18158546	adamgrant	Adam Grant		@stevehancock Poor Steve.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/948364252548493313	False		0								[{'screen_name': 'stevehancock', 'name': 'recovering himbo', 'id': '16843149'}]				
948306093066698752	948298499904495616	2018-01-02 15:32:45 CST	2018-01-02	15:32:45	-0600	18158546	adamgrant	Adam Grant		@sakoPTBO You have that shirt ?	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/adamgrant/status/948306093066698752	False		0								[]				
948269010860220416	948249337091514368	2018-01-02 13:05:24 CST	2018-01-02	13:05:24	-0600	18158546	adamgrant	Adam Grant		@iconiContent @HanaAbaza @ShopifyPlus @AdamMGrant @hiplayapp Lol thanks! @AdamMGrant mentioned a few years back, I never really followed up on it though. Big fan of his writing too	en	[{'screen_name': 'adammgrant', 'name': 'adam grant', 'id': '1059273780'}]	[]	[]	0	0	4	[]	[]	https://twitter.com/adamgrant/status/948269010860220416	False		0								[{'screen_name': 'iconiContent', 'name': 'Aaron Orendorff', 'id': '998273534022504448'}, {'screen_name': 'HanaAbaza', 'name': 'Hana Abaza', 'id': '28859485'}, {'screen_name': 'ShopifyPlus', 'name': 'Shopify Plus', 'id': '2152015511'}, {'screen_name': 'AdamMGrant', 'name': 'Adam Grant', 'id': '1059273780'}, {'screen_name': 'hiplayapp', 'name': 'Hiplay', 'id': '3698466021'}]				
948264278410248192	948249337091514368	2018-01-02 12:46:36 CST	2018-01-02	12:46:36	-0600	18158546	adamgrant	Adam Grant		@iconiContent @HanaAbaza @ShopifyPlus @AdamMGrant Happens all the time ! Happy new year !	en	[]	[]	[]	1	0	3	[]	[]	https://twitter.com/adamgrant/status/948264278410248192	False		0								[{'screen_name': 'iconiContent', 'name': 'Aaron Orendorff', 'id': '998273534022504448'}, {'screen_name': 'HanaAbaza', 'name': 'Hana Abaza', 'id': '28859485'}, {'screen_name': 'ShopifyPlus', 'name': 'Shopify Plus', 'id': '2152015511'}, {'screen_name': 'AdamMGrant', 'name': 'Adam Grant', 'id': '1059273780'}]				
